CHROM_POS	1048_F.freq	1048_G.freq	1048_H.freq	1048_I.freq	1048_J.freq	1115_A_fixed.freq	1115_B_fixed.freq	1115_C.freq	1586_B.freq	1586_C.freq	1586_D.freq	1586_E.freq	1586_F.freq	1586_G.freq	1586_I.freq	1586_J.freq	1586_K.freq	1586_N.freq	1586_O.freq	1586_P.freq	1586_Q.freq	1586_R.freq	1586_S.freq	1600_F.freq	1600_G.freq	1600_H.freq	1600_I.freq	1600_J.freq	2065_A.freq	2065_B.freq	2065_C.freq	2424_E.freq	2424_N.freq	2487_A.freq	2487_B.freq	2487_C.freq	2487_D.freq	2487_E.freq	2487_F.freq	3386_A.freq	3386_AB.freq	3386_AD.freq	3386_AE.freq	3386_AG.freq	3386_AH.freq	3386_AI.freq	3386_AJ.freq	3386_AK.freq	3386_AL.freq	3386_C.freq	3386_D.freq	3386_E.freq	3386_F.freq	3386_G.freq	3386_H.freq	3386_I.freq	3386_J.freq	3386_M.freq	3386_N.freq	3386_O.freq	3386_S.freq	3386_T.freq	3386_U.freq	3386_W.freq	3386_X.freq	3386_Y.freq	3386_Z.freq	3722_CJ.freq	3722_CL.freq	3722_CM.freq	3722_CN.freq	3722_CO.freq	3722_CP.freq
adoK60_740	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.364906	0.126471	0.487321	0.404248	0.505	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
adoK60_753	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.810526	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.897143	-	-	-	0.843478
adoK60_759	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.921739	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
adoK60_777	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.85	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
adoK60_780	0.01	0.01	0.01	0.01	0.01	-	-	-	0.01	0.001	0.01	0.01	0.01	0.01	0.001	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.001	0.001	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.677174	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
adoK60_834	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.67825	-	0.563548	0.610319	0.543077	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.742981	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
adoK60_843	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.82439	-	0.9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
adoK60_96	-	-	-	0.892	-	-	-	-	-	0.566875	0.805246	0.804444	-	-	-	-	-	-	0.8875	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ahcY26_102	-	-	-	-	-	-	-	-	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0325	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.692297	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ahcY26_1026	-	-	-	0.882609	-	-	-	-	-	-	-	-	-	-	-	-	0.862712	0.903571	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ahcY26_1140	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.836364	0.91	0.543077	-	-	0.798333	0.784	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.523333	0.73	-	0.761667	0.3925	-
ahcY26_1158	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.861538	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ahcY26_120	-	-	-	-	-	-	-	-	0.0228571	0.0283333	0.1684	0.0911475	0.01	0.12	0.179024	0.0382857	0.179714	0.145	0.1486	0.1288	0.1	0.01	0.197297	0.629412	-	-	0.420943	0.52975	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ahcY26_1257	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.55	0.179714	0.520968	-	0.406	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ahcY26_1260	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ahcY26_1269	0.01	0.01	0.1	0.01	0.01	-	-	-	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.01	0.01	0.01	0.01	0.01	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.911765	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ahcY26_1341	-	-	-	-	0.1	-	-	-	0.01	0.238462	0.145	0.1	0.1	0.0682353	0.076	0.01	0.01	0.1	0.0861538	0.19	0.071875	-	0.01	0.1	-	0.01	0.1	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ahcY26_141	-	-	-	-	-	0.87625	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.691639	-	-	-	-	0.827143	0.717143	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.87625	0.796575	0.858571	-	0.871429
ahcY26_158	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.776452	0.320588	0.607143	-	-	0.832203	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.912195	-	-	-	0.881967
ahcY26_189	-	-	-	-	-	0.724433	0.83726	0.79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.4456	0.21625	-	0.01	0.01	0.583158	0.588769	-	0.781429	0.847692	0.772568	0.01	0.01	0.01	0.01	0.0588889	0.01	0.245714	0.0911475	0.01	0.01	0.01	0.01	0.01	0.01	0.0330233	0.01	0.01	0.01	0.01	0.109	0.01	0.01	0.104286	0.01	0.01	0.102093	0.01	0.01	0.830658	0.692297	-	0.76375	0.905304	0.715375
ahcY26_204	0.668421	0.83125	0.8	0.807143	-	-	-	-	-	-	-	-	-	-	0.82	0.897143	0.82	0.598649	0.856818	0.810526	-	0.316	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ahcY26_214	0.01	0.01	0.01	0.01	0.01	-	-	-	0.0575472	0.048952	0.0853261	0.0501351	0.01	0.046	0.0386957	0.03475	0.0530435	0.0375	0.115319	0.01	0.0635135	0.01	0.0298	0.397391	0.0790698	0.536596	0.461	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ahcY26_218	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.8875	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ahcY26_270	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.7975	-	-	0.768298	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ahcY26_279	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.857895	-	-	-	-	-	0.915625	-	-	-	-	0.805405	0.769767	-	-	-	-	-	-
ahcY26_28	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.85	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ahcY26_297	-	-	-	-	-	-	0.811429	0.660959	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.802	-	0.89322	0.885915	-	0.86186	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ahcY26_357	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.10625	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.864151	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ahcY26_366	-	0.861538	0.8	-	-	-	-	-	-	-	-	-	-	-	0.885915	-	0.693571	0.825	-	0.853061	-	-	0.784783	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ahcY26_378	-	-	-	-	-	0.910989	0.802	0.783438	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.9	-	0.898387	0.8152	-	0.845313	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ahcY26_381	-	-	-	-	-	0.836813	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.62875	-	-	-	-	-	0.717143	0.805246	-	0.90597	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.845714	0.898387	0.759571	0.902703	0.91
ahcY26_435	-	-	-	-	-	0.828889	-	0.889231	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.714423	-	-	0.01	0.01	0.863043	0.778103	0.823214	-	0.795714	-	0.01	0.01	0.01	0.01	0.0579032	0.01	0.327778	0.032	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.12	0.01	0.01	0.0375	0.01	0.12	0.01	0.01	0.01	-	0.82675	0.890909	0.707183	0.868	-
ahcY26_451	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.874419	0.874	0.889796	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ahcY26_452	-	0.76	0.85	-	-	-	-	-	-	-	-	-	-	-	0.865957	0.8875	0.832558	0.713421	-	0.836364	0.911765	-	0.828571	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ahcY26_463	-	-	-	-	0.8875	-	-	-	-	-	-	-	-	-	0.740714	-	-	-	0.874	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ahcY26_543	-	-	-	-	-	-	-	-	-	-	-	0.903571	-	-	-	-	0.828571	0.678919	-	0.846809	0.88	-	0.797959	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ahcY26_558	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.710714	0.807143	0.434286	0.590345	0.641552	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.707183	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ahcY26_646	-	-	-	-	0.877273	-	-	-	-	-	0.869355	0.808947	-	-	-	0.781864	-	-	0.808387	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ahcY26_705	-	-	-	-	-	0.92125	0.919403	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.620851	0.307	0.709828	-	-	0.91	0.84717	-	0.830658	0.82766	0.855357	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.858571	0.84662	-	-	-	0.778103
ahcY26_726	0.440435	0.590345	0.748	0.235	0.434286	-	-	-	0.685	0.0595	0.304324	-	0.434286	0.116071	-	0.328814	0.613659	0.715789	-	0.396341	0.222143	0.277568	0.292857	0.406	0.145882	0.46	0.3025	0.505	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ahcY26_829	-	-	-	-	-	0.615821	0.617895	0.706667	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.677174	0.220638	0.714746	0.01	-	0.852069	0.915094	-	0.591429	0.744516	0.570377	0.01	0.01	0.01	-	0.0797183	-	0.367049	0.0660377	-	-	0.01	-	-	0.01	-	-	-	-	-	-	0.01	0.01	0.0682353	-	-	0.0382857	-	-	0.889231	0.687368	0.741077	0.761667	0.904706	0.742857
ahcY26_84	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.861538	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ahcY26_842	-	-	0.742857	-	-	-	-	-	0.714746	0.368448	0.401875	0.292857	0.505	0.193333	0.406	0.419655	-	0.61	0.27561	-	0.28383	0.425161	0.406	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ahcY26_846	-	-	-	-	-	0.889231	0.633333	0.73	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.368085	-	0.717143	-	-	0.738276	0.725	0.7624	0.740328	0.748571	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.604	0.725846	0.734821	0.7756	0.813793
ahcY26_897	-	-	-	-	-	0.829844	0.67	0.894118	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.468333	-	0.802	-	-	0.674714	0.67	0.72617	-	0.812241	0.908163	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.798906	0.685	0.78	0.708824	0.8625	0.754545
ahcY26_906	-	-	-	-	-	-	0.805882	0.919643	0.01	0.01	0.0496	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.809615	-	0.881967	-	-	0.827826	-	0.91	0.903571	0.905263	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.880882	0.912903	0.913699	-	-	0.85
ahcY26_912	-	-	-	-	-	-	0.852727	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.787857	-	0.877966	-	-	0.889231	0.890909	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.894118	-	0.917105	-	-	0.916279
ahcY26_921	-	-	-	-	-	-	0.864151	0.901563	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.761034	-	0.896721	-	-	0.840323	0.877273	0.913462	0.891379	0.89322	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.896721	0.845313	-	-	-	0.832558
banIM31_1064	-	-	-	-	-	-	-	0.82	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
banIM31_1069	-	-	-	-	-	-	-	0.82	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
banIM31_1119	-	-	0.1	-	-	-	-	-	0.01	0.1	-	-	0.01	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
banIM31_1184	-	-	-	-	-	-	-	-	0.01	0.1	0.1	0.1	0.01	0.1	0.1	0.01	0.1	0.1	0.01	-	0.1	-	0.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
banIM31_1192	-	-	-	-	-	-	-	-	0.01	0.1	0.1	0.1	0.01	0.1	0.1	0.01	0.1	0.1	0.01	-	0.1	-	0.1	-	-	-	-	0.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
